"","goal_func","MPC10","MPC15","MPC20","MPC25"
"1",0.5,3983.88499367541,4147.43723221667,4159.05800173848,4167.75113895272
"2",1,6430.60958353129,6172.10892371243,6006.00636921259,5785.21818421005
