"","goal_func","MPCmemory10","MPCmemory25","MPCsimple10","MPCsimple25"
"1",0,4671.59146958068,4671.58990436929,4671.59161472012,4671.59112514719
"2",0.45,4052.53011330102,4052.56472667265,4052.5317502733,4052.55052510142
"3",0.5,3983.90559729573,4436.67550321552,3983.8740437441,4399.9929646187
"4",0.55,4663.70251149115,4672.46581753017,4670.29752563039,4672.3941249034
"5",0.6,4928.58820635255,4908.27486883174,4958.50516408223,4944.82659549169
"6",0.65,5164.20578986939,5132.49125194965,5238.97617298844,5217.24031171864
"7",1,6850.10429757431,6308.58880668563,7170.60697278801,6744.1433816982
