"","time_window","goal_func","num_maxM_days","memory","num_maxS_days","total_equivalent","k"
"117",25,0.75,189,5,60,"MaxM","1"
"118",25,0.8,0,5,0,"MaxS","1"
"119",25,0.9,0,5,0,"MaxS","1"
"120",25,1,249,5,0,"MaxM","1"
"121",10,0,0,0,249,"MaxS","2"
"122",10,0.1,0,0,0,"MaxS","2"
"123",10,0.2,0,0,0,"MaxS","2"
"124",10,0.3,0,0,0,"MaxS","2"
"125",10,0.4,0,0,0,"MaxS","2"
"126",10,0.45,0,0,249,"MaxS","2"
"127",10,0.5,0,0,249,"MaxS","2"
"128",10,0.55,99,0,150,"MaxM","2"
"129",10,0.6,100,0,149,"MaxM","2"
"130",10,0.65,89,0,160,"MaxM","2"
"131",10,0.7,0,0,0,"MaxS","2"
"132",10,0.75,87,0,162,"MaxM","2"
"133",10,0.8,0,0,0,"MaxS","2"
"134",10,0.9,0,0,0,"MaxS","2"
"135",10,1,249,0,0,"MaxM","2"
"136",15,0,0,0,249,"MaxS","2"
"137",15,0.1,0,0,0,"MaxS","2"
"138",15,0.2,0,0,0,"MaxS","2"
"139",15,0.3,0,0,0,"MaxS","2"
"140",15,0.4,0,0,0,"MaxS","2"
"141",15,0.45,0,0,249,"MaxS","2"
"142",15,0.5,4,0,245,"MaxM","2"
"143",15,0.55,92,0,157,"MaxM","2"
"144",15,0.6,94,0,155,"MaxM","2"
"145",15,0.65,92,0,157,"MaxM","2"
"146",15,0.7,0,0,0,"MaxS","2"
"147",15,0.75,109,0,140,"MaxM","2"
"148",15,0.8,0,0,0,"MaxS","2"
"149",15,0.9,0,0,0,"MaxS","2"
"150",15,1,249,0,0,"MaxM","2"
"151",20,0,0,0,249,"MaxS","2"
"152",20,0.1,0,0,0,"MaxS","2"
"153",20,0.2,0,0,0,"MaxS","2"
"154",20,0.3,0,0,0,"MaxS","2"
"155",20,0.4,0,0,0,"MaxS","2"
"156",20,0.45,0,0,249,"MaxS","2"
"157",20,0.5,1,0,248,"MaxM","2"
"158",20,0.55,115,0,134,"MaxM","2"
"159",20,0.6,116,0,133,"MaxM","2"
"160",20,0.65,114,0,135,"MaxM","2"
"161",20,0.7,0,0,0,"MaxS","2"
"162",20,0.75,155,0,94,"MaxM","2"
"163",20,0.8,0,0,0,"MaxS","2"
"164",20,0.9,0,0,0,"MaxS","2"
"165",20,1,249,0,0,"MaxM","2"
"166",25,0,0,0,249,"MaxS","2"
"167",25,0.1,0,0,0,"MaxS","2"
"168",25,0.2,0,0,0,"MaxS","2"
"169",25,0.3,0,0,0,"MaxS","2"
"170",25,0.4,0,0,0,"MaxS","2"
"171",25,0.45,0,0,249,"MaxS","2"
"172",25,0.5,1,0,248,"MaxM","2"
"173",25,0.55,140,0,109,"MaxM","2"
"174",25,0.6,142,0,107,"MaxM","2"
"175",25,0.65,142,0,107,"MaxM","2"
"176",25,0.7,0,0,0,"MaxS","2"
"177",25,0.75,141,0,108,"MaxM","2"
"178",25,0.8,0,0,0,"MaxS","2"
"179",25,0.9,0,0,0,"MaxS","2"
"180",25,1,249,0,0,"MaxM","2"
"181",10,0,0,5,249,"MaxS","2"
"182",10,0.1,0,5,0,"MaxS","2"
"183",10,0.2,0,5,0,"MaxS","2"
"184",10,0.3,0,5,0,"MaxS","2"
"185",10,0.4,0,5,0,"MaxS","2"
"186",10,0.45,0,5,249,"MaxS","2"
"187",10,0.5,0,5,249,"MaxS","2"
"188",10,0.55,102,5,147,"MaxM","2"
"189",10,0.6,101,5,148,"MaxM","2"
"190",10,0.65,103,5,146,"MaxM","2"
"191",10,0.7,0,5,0,"MaxS","2"
"192",10,0.75,105,5,144,"MaxM","2"
"193",10,0.8,0,5,0,"MaxS","2"
"194",10,0.9,0,5,0,"MaxS","2"
"195",10,1,249,5,0,"MaxM","2"
"196",15,0,0,5,249,"MaxS","2"
"197",15,0.1,0,5,0,"MaxS","2"
"198",15,0.2,0,5,0,"MaxS","2"
"199",15,0.3,0,5,0,"MaxS","2"
"200",15,0.4,0,5,0,"MaxS","2"
"201",15,0.45,0,5,249,"MaxS","2"
"202",15,0.5,16,5,233,"MaxM","2"
"203",15,0.55,107,5,142,"MaxM","2"
"204",15,0.6,113,5,136,"MaxM","2"
"205",15,0.65,119,5,130,"MaxM","2"
"206",15,0.7,0,5,0,"MaxS","2"
"207",15,0.75,129,5,120,"MaxM","2"
"208",15,0.8,0,5,0,"MaxS","2"
"209",15,0.9,0,5,0,"MaxS","2"
"210",15,1,249,5,0,"MaxM","2"
"211",20,0,0,5,249,"MaxS","2"
"212",20,0.1,0,5,0,"MaxS","2"
"213",20,0.2,0,5,0,"MaxS","2"
"214",20,0.3,0,5,0,"MaxS","2"
"215",20,0.4,0,5,0,"MaxS","2"
"216",20,0.45,1,5,248,"MaxS","2"
"217",20,0.5,33,5,216,"MaxM","2"
"218",20,0.55,149,5,100,"MaxM","2"
"219",20,0.6,149,5,100,"MaxM","2"
"220",20,0.65,154,5,95,"MaxM","2"
"221",20,0.7,0,5,0,"MaxS","2"
"222",20,0.75,150,5,99,"MaxM","2"
"223",20,0.8,0,5,0,"MaxS","2"
"224",20,0.9,0,5,0,"MaxS","2"
"225",20,1,249,5,0,"MaxM","2"
"226",25,0,0,5,249,"MaxS","2"
"227",25,0.1,0,5,0,"MaxS","2"
"228",25,0.2,0,5,0,"MaxS","2"
"229",25,0.3,0,5,0,"MaxS","2"
"230",25,0.4,0,5,0,"MaxS","2"
"231",25,0.45,2,5,247,"MaxS","2"
"232",25,0.5,34,5,215,"MaxM","2"
"233",25,0.55,150,5,99,"MaxM","2"
"234",25,0.6,141,5,108,"MaxM","2"
"235",25,0.65,154,5,95,"MaxM","2"
"236",25,0.7,0,5,0,"MaxS","2"
"237",25,0.75,153,5,96,"MaxM","2"
"238",25,0.8,0,5,0,"MaxS","2"
"239",25,0.9,0,5,0,"MaxS","2"
"240",25,1,249,5,0,"MaxM","2"
"241",10,0,0,0,249,"MaxS","3"
"242",10,0.1,0,0,0,"MaxS","3"
"243",10,0.2,0,0,0,"MaxS","3"
"244",10,0.3,0,0,0,"MaxS","3"
"245",10,0.4,0,0,0,"MaxS","3"
"246",10,0.45,0,0,249,"MaxS","3"
"247",10,0.5,1,0,248,"MaxS","3"
"248",10,0.55,86,0,163,"MaxM","3"
"249",10,0.6,90,0,159,"MaxM","3"
"250",10,0.65,100,0,149,"MaxM","3"
"251",10,0.7,0,0,0,"MaxS","3"
"252",10,0.75,92,0,157,"MaxM","3"
"253",10,0.8,0,0,0,"MaxS","3"
"254",10,0.9,0,0,0,"MaxS","3"
"255",10,1,249,0,0,"MaxM","3"
"256",15,0,0,0,249,"MaxS","3"
"257",15,0.1,0,0,0,"MaxS","3"
"258",15,0.2,0,0,0,"MaxS","3"
