1.1089e-07,3300,583,31.52
3.5632e-08,3300,616,13.04
3.3895e-08,3300,649,20.119
3.2337e-08,3300,682,59.116
3.0931e-08,3300,715,40.636
2.9656e-08,3300,748,68.412
2.8495e-08,3300,781,49.932
2.7434e-08,3300,814,63.724
2.6461e-08,3300,847,45.244
2.5564e-08,3300,880,76.64
2.4736e-08,3300,913,108.14
2.397e-08,3300,946,89.662
2.3258e-08,3300,979,71.182
2.2596e-08,3300,1012,88.777
2.1977e-08,3300,1045,132
2.14e-08,3300,1078,147.23
2.0859e-08,3300,1111,166.74
2.0351e-08,3300,1144,185.59
1.9874e-08,3300,1177,221.04
1.9424e-08,3300,1210,247.08
1.9001e-08,3300,1243,258.86
1.8601e-08,3300,1276,273.87
1.8223e-08,3300,1309,292.44
1.7865e-08,3300,1342,312.4
1.7526e-08,3300,1375,355.67
1.7204e-08,3300,1408,375.85
1.6898e-08,3300,1441,394.31
1.6608e-08,3300,1474,375.83
1.6332e-08,3300,1507,357.35
1.6068e-08,3300,1540,378.03
1.5818e-08,3300,1573,394.47
1.5579e-08,3300,1606,404.59
1.535e-08,3300,1639,386.11
1.5132e-08,3300,1672,405.33
1.4924e-08,3300,1705,422.16
1.4725e-08,3300,1738,439.32
1.4535e-08,3300,1771,449.65
1.4352e-08,3300,1804,478.82
1.4178e-08,3300,1837,460.34
1.4011e-08,3300,1870,441.86
1.3851e-08,3300,1903,455.9
1.3697e-08,3300,1936,437.42
1.355e-08,3300,1969,418.94
1.3409e-08,3300,2002,400.46
1.3273e-08,3300,2035,381.98
1.3144e-08,3300,2068,403.4
1.3019e-08,3300,2101,432.34
1.2899e-08,3300,2134,451.38
1.2784e-08,3300,2167,472.06
1.2674e-08,3300,2200,488.15
1.2569e-08,3300,2233,469.67
1.2467e-08,3300,2266,451.19
1.237e-08,3300,2299,472.07
1.2276e-08,3300,2332,502.48
1.2186e-08,3300,2365,484
1.21e-08,3300,2398,465.52
1.2018e-08,3300,2431,471.53
1.1939e-08,3300,2464,492.79
1.1863e-08,3300,2497,474.31
1.1791e-08,3300,2530,455.83
1.1721e-08,3300,2563,471.19
1.1655e-08,3300,2596,489.27
1.1591e-08,3300,2629,513.56
1.153e-08,3300,2662,515.01
1.1472e-08,3300,2695,531.13
1.1417e-08,3300,2728,549.39
1.1364e-08,3300,2761,585.63
1.1314e-08,3300,2794,567.15
1.1267e-08,3300,2827,581.09
1.1221e-08,3300,2860,594.54
1.1179e-08,3300,2893,576.06
1.1138e-08,3300,2926,557.58
1.11e-08,3300,2959,539.1
1.1064e-08,3300,2992,520.62
1.103e-08,3300,3025,534.39
1.0998e-08,3300,3058,542.86
1.0969e-08,3300,3091,524.38
1.0942e-08,3300,3124,505.9
1.0916e-08,3300,3157,545.41
1.0893e-08,3300,3190,526.93
1.0872e-08,3300,3223,545.57
1.0852e-08,3300,3256,558.13
1.0835e-08,3300,3289,539.65
1.0819e-08,3300,3322,569.86
1.0806e-08,3300,3355,590.13
1.0794e-08,3300,3388,623.54
1.0784e-08,3300,3421,646.49
1.0777e-08,3300,3454,667.51
1.0771e-08,3300,3487,696.03
1.0767e-08,3300,3520,723.05
1.0765e-08,3300,3553,704.57
1.0764e-08,3300,3586,729.5
1.0766e-08,3300,3619,748
1.0769e-08,3300,3652,783.44
1.0774e-08,3300,3685,802.31
1.0782e-08,3300,3718,824.03
1.0791e-08,3300,3751,845.03
1.0802e-08,3300,3784,861.22
1.0815e-08,3300,3817,890.07
1.0829e-08,3300,3850,910.99
1.0846e-08,3300,3883,935.47
1.0865e-08,3300,3916,969.14
1.0885e-08,3300,3949,950.66
1.0908e-08,3300,3982,974.23
1.0933e-08,3300,4015,992.52
1.0959e-08,3300,4048,994.74
1.0988e-08,3300,4081,976.26
1.1019e-08,3300,4114,1000.2
1.1052e-08,3300,4147,1015.6
1.1088e-08,3300,4180,1026.8
1.1125e-08,3300,4213,1033.9
1.1165e-08,3300,4246,1053.3
1.1207e-08,3300,4279,1063.8
1.1251e-08,3300,4312,1087.7
1.1298e-08,3300,4345,1112.9
1.1347e-08,3300,4378,1129.8
1.1399e-08,3300,4411,1162.8
1.1453e-08,3300,4444,1144.3
1.151e-08,3300,4477,1125.8
1.157e-08,3300,4510,1139.3
1.1633e-08,3300,4543,1156.4
1.1698e-08,3300,4576,1138
1.1767e-08,3300,4609,1119.5
1.1838e-08,3300,4642,1101
1.1913e-08,3300,4675,1124.6
1.1991e-08,3300,4708,1150.4
1.2072e-08,3300,4741,1158
1.2157e-08,3300,4774,1162.4
1.2246e-08,3300,4807,1143.9
1.2338e-08,3300,4840,1181.4
1.2434e-08,3300,4873,1188.1
1.2534e-08,3300,4906,1208.6
1.2638e-08,3300,4939,1190.1
1.2747e-08,3300,4972,1208.4
1.286e-08,3300,5005,1231.5
1.2978e-08,3300,5038,1286.3
1.3101e-08,3300,5071,1303.6
1.3229e-08,3300,5104,1316.2
1.3363e-08,3300,5137,1330.7
1.3502e-08,3300,5170,1353
1.3647e-08,3300,5203,1390.5
1.3799e-08,3300,5236,1414.4
1.3956e-08,3300,5269,1458.5
1.4121e-08,3300,5302,1482.9
1.4293e-08,3300,5335,1490
1.4473e-08,3300,5368,1471.5
1.4661e-08,3300,5401,1453
1.4857e-08,3300,5434,1434.5
1.5062e-08,3300,5467,1416.1
1.5276e-08,3300,5500,1397.6
1.5501e-08,3300,5533,1406.8
1.5737e-08,3300,5566,1422.3
1.5983e-08,3300,5599,1466.4
1.6242e-08,3300,5632,1487.5
1.6514e-08,3300,5665,1516
